id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00258;14523538000195;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;ILHA DAS FLORES;SE
Ins00259;10373665000102;FUNDO MUNICIPAL DE SAUDE DE ARAUCARIA;ARAUCARIA;PR
Ins00260;14830853000165;FUNDO MUNICIPAL DE SAUDE DE CASTELO - ES;CASTELO;ES
Ins00261;08987945000150;FUNDO MUNICIPAL DE SAUDE DE NOVA UNIAO;NOVA UNIAO;RO
Ins00262;13846658000160;FUNDO MUNICIPAL DE SAUDE;CAMAPUA;MS
Ins00263;76002658000102;MUNICIPIO DE CAMPO DO TENENTE;CAMPO DO TENENTE;PR
Ins00264;05943030000155;MUNICIPIO DE BOA VISTA;BOA VISTA;RR
Ins00265;11297536000137;FUNDO MUNICIPAL DE SAUDE;PATY DO ALFERES;RJ
Ins00266;01576782000174;MUNICIPIO DE PRATANIA;PRATANIA;SP
Ins00267;92324748000168;MUNICIPIO DE CERRO GRANDE DO SUL;CERRO GRANDE DO SUL;RS
Ins00268;12431437000169;FUNDO MUNICIPAL DE SAUDE;CASSERENGUE;PB
Ins00269;18960233000100;CONSORCIO INTERMUNICIPAL DO OESTE PAULISTA;PRESIDENTE PRUDENTE;SP
Ins00270;09036819000183;FUNDO MUNICIPAL DE SAUDE DE CLEVELANDIA;CLEVELANDIA;PR
Ins00271;29141322000132;MUNICIPIO DE PIRAI;PIRAI;RJ
Ins00272;80909617000163;MUNICIPIO DE SAO MANOEL DO PARANA;SAO MANOEL DO PARANA;PR
Ins00273;01612618000175;MUNICIPIO DE CAXINGO;CAXINGO;PI
Ins00274;11334531000137;FUNDO MUNICIPAL DE SAUDE;SAO MIGUEL DOS MILAGRES;AL
Ins00275;01612372000131;MUNICIPIO DE CURRAL DE CIMA;CURRAL DE CIMA;PB
Ins00276;18457218000135;MUNICIPIO DE ITUIUTABA;ITUIUTABA;MG
Ins00277;18431155000148;MUNICIPIO DE MONTE ALEGRE DE MINAS;MONTE ALEGRE DE MINAS;MG
